number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
0,0.11050391403397224,2026-07-14 02:49:38.556743,2026-07-14 02:51:26.408541,0 days 00:01:47.851798,0.5,0.5,0.5,3,3,,,,,"{'blind': 0.5, 'max_iteration': 3, 'filter_size_surf': 0.5, 'filter_size_map': 0.5, 'point_filter_num': 3}",COMPLETE
1,0.10999211986411772,2026-07-14 02:51:26.409211,2026-07-14 02:53:04.030589,0 days 00:01:37.621378,0.4159699205197687,0.7503081170883736,0.41310438692495366,4,3,0.0,0.0,,,,COMPLETE
2,0.11019071755128798,2026-07-14 02:53:04.031164,2026-07-14 02:54:49.760135,0 days 00:01:45.728971,0.6352819348208824,0.5835818055129257,0.8664399448135537,4,3,0.0,0.0,,,,COMPLETE
3,0.11029250451822188,2026-07-14 02:54:49.760685,2026-07-14 02:56:22.902426,0 days 00:01:33.141741,0.5852922080128022,0.634368719540691,0.5618529824374295,4,3,0.0,0.0,,,,COMPLETE
4,0.11030011023401115,2026-07-14 02:56:22.903002,2026-07-14 02:58:12.066136,0 days 00:01:49.163134,0.31279812887674247,0.47783133253813315,0.4077968555451491,3,3,0.0,0.0,,,,COMPLETE
5,0.11038183971058153,2026-07-14 02:58:12.066733,2026-07-14 02:59:51.948109,0 days 00:01:39.881376,0.625556994403896,0.5649486386383719,0.48770674254225443,3,4,0.0,0.0,,,,COMPLETE
6,0.11038743874432495,2026-07-14 02:59:51.948643,2026-07-14 03:01:36.857342,0 days 00:01:44.908699,0.6569559465463055,0.6351162598599496,0.5103148409358282,3,4,0.0,0.0,,,,COMPLETE
7,0.11056593638943991,2026-07-14 03:01:36.857936,2026-07-14 03:03:30.331960,0 days 00:01:53.474024,0.5499916077660424,0.4147832172699058,0.8119405077326143,3,4,0.0,0.0,,,,COMPLETE
8,0.11035750042664506,2026-07-14 03:03:30.332559,2026-07-14 03:05:09.661175,0 days 00:01:39.328616,0.5375905050627993,0.5662905485493667,0.32864593915489687,3,4,0.0,0.0,,,,COMPLETE
9,0.11027263608791027,2026-07-14 03:05:09.661774,2026-07-14 03:07:03.366021,0 days 00:01:53.704247,0.6796110889453717,0.4802792730296772,0.9033734660261457,4,3,1.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680b894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf712f7471306258080000005f705f7369676d617131682868294b00857132682b877133527134284b014b05857135680b894328f96dcc91ab5adbbf82c851a4ca760e40776cdadc380abd3fcce5af179695f03fc71d2a36539c10c071367471376258030000005f70637138682868294b00857139682b87713a52713b284b014b0585713c680b89432800000000000000000000000000000000000000000000000000000000000000000000000000000000713d74713e6258050000005f6d65616e713f682868294b00857140682b877141527142284b014b05857143680b8943285d44b4a30be8df3f0cb6c9e402ab0f403a20224b7d09e23fac39d02cfa97e53f000000000000084071447471456258050000005f635f31647146682868294b00857147682b877148527149284b014b0f85714a680b8943781938ecf91bd9f03f581d9e824a0d7dbff28b3fa1be4ca13ff7cf4fcaa8e797bf9a39870bc15c983fe9621307022ef43f1607a85ab857a63f1e973470bf82ba3f43aeed096cb5c8bf76fbb6896735f13f1720d7b6d0c17bbf943843509437a1bfddeeb9239a07f13f4b7c0b19ca35b9bfe9621307022ef43f714b74714c6258060000005f7369676d61714d6807680b4,308be569a067d3fce3f714e86714f52715058020000005f4471514e58020000005f4271524e58070000005f626f756e64737153682868294b00857154682b877155527156284b014b054b02867157680b8943509a9999999999b93f000000000000f03f000000000000e03f0000000000001a409a9999999999b93f000000000000f03f9a9999999999b93f000000000000f03f000000000000e03f0000000000001a4071587471596258110000005f6e5f6d61785f726573616d706c696e67715a4b3258020000005f67715b4b0158050000005f746f6c78715c6807680b4308e11837ce511c453d715d86715e52715f58070000005f746f6c78757071604740c388000000000058070000005f746f6c66756e7161473d719799812dea1158100000005f746f6c636f6e646974696f6e636f7671624742d6bcc41e900000580d0000005f66756e686973745f7465726d71634b1d580f0000005f66756e686973745f76616c7565737164682868294b00857165682b877166527167284b014b3a857168680b8942d0010000c0f458240000000000000000000000003854a28d7128bc3f7921d8980c4ebc3fe4319c00000000000000000000000000646566205f5f696e69745f5f2873656c662c207461626c652c207768657265636c617573653d4e6f6e652c2076616c7565733d4e6f6e652c20696e6c696e653d46616c73652c2062696e643d4e6f6e652c2070726566697865733d4e6f6e652c2072657475726e696e673d4e6f6e652c2072657475726e5f64656661756c74733d46616c73652c2070726573657276655f706172616d657465725f6f726465723d46616c73652c202a2a6469616c6563745f6b77293a0a2020202072657475726e2074617267657428666e2c2073656c662c207461626c652c207768657265636c617573653d7768657265636c617573652c2076616c7565733d76616c7565732c20696e6c696e653d696e6c696e652c2062696e643d62696e642c2070726566697865733d70726566697865732c2072657475726e696e673d72657475726e696e672c2072657475726e5f64656661756c74733d72657475726e5f64656661756c74732c2070726573657276655f706172616d657465725f6f726465723d70726573657276655f706172616d657465725f6f726465722c202a2a6469616c6563716974716a6275622e,,COMPLETE
