number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_fixed_params,state
0,0.11019990680563775,2026-07-14 04:20:32.195664,2026-07-14 04:22:06.504136,0 days 00:01:34.308472,0.5,0.5,0.5,3,3,"{'blind': 0.5, 'max_iteration': 3, 'filter_size_surf': 0.5, 'filter_size_map': 0.5, 'point_filter_num': 3}",COMPLETE
1,0.11027881187676115,2026-07-14 04:22:06.504732,2026-07-14 04:24:03.887159,0 days 00:01:57.382427,0.37116659376993033,0.29713166667694235,0.8154463226089846,1,2,,COMPLETE
2,0.11026651320962626,2026-07-14 04:24:03.887708,2026-07-14 04:25:56.439615,0 days 00:01:52.551907,0.6826710642178062,0.9245595341756069,0.5417913341300532,5,3,,COMPLETE
3,0.11045750026369676,2026-07-14 04:25:56.440193,2026-07-14 04:27:50.565427,0 days 00:01:54.125234,0.30751668507884444,0.3349151915278762,0.9031379097048644,4,6,,COMPLETE
4,0.11016191465095852,2026-07-14 04:27:50.566001,2026-07-14 04:29:34.343347,0 days 00:01:43.777346,0.3903449050224378,0.8604384536163436,0.328719967497595,5,5,,COMPLETE
5,0.11020470430838661,2026-07-14 04:29:34.343870,2026-07-14 04:31:28.518590,0 days 00:01:54.174720,0.3043296688174848,0.35863430786290107,0.8433499305580572,4,4,,COMPLETE
6,0.11087433639145841,2026-07-14 04:31:28.519196,2026-07-14 04:33:21.713077,0 days 00:01:53.193881,0.29825054231375886,0.8586776891652735,0.7024412241482078,6,3,,COMPLETE
7,0.11016502608980032,2026-07-14 04:33:21.713681,2026-07-14 04:34:58.690223,0 days 00:01:36.976542,0.4384390109231512,0.6381945892318643,0.9264238042722699,3,5,,COMPLETE
8,0.1102921991646011,2026-07-14 04:34:58.690817,2026-07-14 04:37:14.972225,0 days 00:02:16.281408,0.5177109229869132,0.2829961968585578,0.10696576878731529,6,5,,COMPLETE
9,0.11051503962736067,2026-07-14 04:37:14.972803,2026-07-14 04:39:07.008858,0 days 00:01:52.036055,0.27508481680937413,0.6138211427962023,0.5911435766917696,1,6,,COMPLETE
10,0.11008669859822738,2026-07-14 04:39:07.009523,2026-07-14 04:40:48.886325,0 days 00:01:41.876802,0.8661291123820607,0.21178708304119556,0.8666386129260952,2,2,,COMPLETE
11,0.10999432120031545,2026-07-14 04:40:48.886881,2026-07-14 04:42:53.895202,0 days 00:02:05.008321,0.8292619013210037,0.1570117662307011,0.26002687795396145,6,5,,COMPLETE
12,0.11024972831587669,2026-07-14 04:42:53.895802,2026-07-14 04:44:32.822373,0 days 00:01:38.926571,0.3545208618273151,0.6013937054059804,0.7940284000929587,6,2,,COMPLETE
13,0.11048436840722177,2026-07-14 04:44:32.822983,2026-07-14 04:46:30.750315,0 days 00:01:57.927332,0.8710214054208028,0.8860083749329455,0.564018635304498,4,3,,COMPLETE
14,0.11062580512595703,2026-07-14 04:46:30.750889,2026-07-14 04:48:45.700879,0 days 00:02:14.949990,0.732610587566158,0.17235291394490865,0.6885202289464811,1,3,,COMPLETE
15,0.11036907764664523,2026-07-14 04:48:45.701459,2026-07-14 04:50:47.546830,0 days 00:02:01.845371,0.9917456901346389,0.9417113381707215,0.3356679899433162,4,5,,COMPLETE
16,0.11047652595735868,2026-07-14 04:50:47.547457,2026-07-14 04:52:39.574319,0 days 00:01:52.026862,0.2439303173212254,0.4401186139992692,0.22685148438043906,3,3,,COMPLETE
17,0.11015966074008134,2026-07-14 04:52:39.574959,2026-07-14 04:54:41.311670,0 days 00:02:01.736711,0.36041758354579634,0.6039536349175726,0.35546165632764515,3,1,,COMPLETE
18,0.110298920695583,2026-07-14 04:54:41.312271,2026-07-14 04:56:31.341596,0 days 00:01:50.029325,0.8440677256761524,0.1,0.13424578902326872,2,5,,COMPLETE
19,0.11041998788256675,2026-07-14 04:56:31.342202,2026-07-14 04:58:09.587210,0 days 00:01:38.245008,0.9771475601052455,0.11640284396396913,0.5357615759610436,6,5,,COMPLETE
20,0.11056222932950001,2026-07-14 04:58:09.587794,2026-07-14 05:00:04.756416,0 days 00:01:55.168622,0.28437550229652825,0.455157465642673,0.8659046233999809,5,4,,COMPLETE
21,0.11009818356477491,2026-07-14 05:00:04.757021,2026-07-14 05:01:39.670549,0 days 00:01:34.913528,0.8071088468722138,0.7787411476953643,0.2691005993070441,3,1,,COMPLETE
22,0.11019827314795802,2026-07-14 05:01:39.671259,2026-07-14 05:03:28.997396,0 days 00:01:49.326137,0.533599118955273,0.5840499198386327,0.5529994628885273,3,1,,COMPLETE
23,0.11088521645772417,2026-07-14 05:03:28.998110,2026-07-14 05:05:22.529295,0 days 00:01:53.531185,0.94036077897389,0.40620466013880974,0.8088673029725307,3,2,,COMPLETE
24,0.10999952324252125,2026-07-14 05:05:22.529924,2026-07-14 05:07:14.348422,0 days 00:01:51.818498,0.6817291834823471,0.17435066809822336,0.4203301441930478,5,5,,COMPLETE
25,0.11020181669164653,2026-07-14 05:07:14.349021,2026-07-14 05:08:57.196523,0 days 00:01:42.847502,0.12228120074335953,0.3453353609316627,0.39878912069092287,1,2,,COMPLETE
26,0.11009135959140431,2026-07-14 05:08:57.197121,2026-07-14 05:10:33.603760,0 days 00:01:36.406639,0.230040107775419,0.1643431196530949,0.3987364328727684,6,3,,COMPLETE
27,0.11023954072976595,2026-07-14 05:10:33.604354,2026-07-14 05:12:41.441669,0 days 00:02:07.837315,0.399445571715925,0.44043658161635935,0.2989806879185135,4,5,,COMPLETE
28,0.11020181669164653,2026-07-14 05:12:41.442289,2026-07-14 05:14:40.761200,0 days 00:01:59.318911,0.1020140733947364,0.8167892119084691,0.770982979581644,6,1,,COMPLETE
29,0.11006008255647594,2026-07-14 05:14:40.761805,2026-07-14 05:16:40.586311,0 days 00:01:59.824506,0.7902658032784978,0.7819649455544719,0.6119064969941961,4,3,,COMPLETE
30,0.11045796932290518,2026-07-14 05:16:40.586894,2026-07-14 05:18:16.636136,0 days 00:01:36.049242,0.7476277613001603,0.9249188587858428,0.32169467139227753,3,6,,COMPLETE
31,0.11065424121926211,2026-07-14 05:18:16.636724,2026-07-14 05:20:53.929391,0 days 00:02:37.292667,0.22627779278913487,0.2879816423802689,0.3901760649691287,2,2,,COMPLETE
32,0.1108463126513435,2026-07-14 05:20:53.929978,2026-07-14 05:23:46.626272,0 days 00:02:52.696294,0.12590565929125064,0.23507924189400248,0.9512794359705957,6,5,,COMPLETE
33,0.11004797891098374,2026-07-14 05:23:46.626983,2026-07-14 05:27:04.751305,0 days 00:03:18.124322,0.9980104360988974,0.6175557078607837,0.8676295233863122,4,1,,COMPLETE
34,0.11015710745186812,2026-07-14 05:27:04.751914,2026-07-14 05:28:46.165913,0 days 00:01:41.413999,0.5306559762265501,0.36981949288960125,0.3153953148274937,2,2,,COMPLETE
35,0.11023089083236029,2026-07-14 05:28:46.166503,2026-07-14 05:30:22.996648,0 days 00:01:36.830145,0.447158785560514,0.17412388041350477,0.15692742391076114,5,5,,COMPLETE
36,0.11038829295602397,2026-07-14 05:30:22.997227,2026-07-14 05:32:22.460914,0 days 00:01:59.463687,0.8526766312451659,0.317620292966493,0.2893130258569342,4,2,,COMPLETE
37,0.1108463126513435,2026-07-14 05:32:22.461497,2026-07-14 05:33:59.269277,0 days 00:01:36.807780,0.14459968195054385,0.9581359626028201,0.6803902937199323,3,4,,COMPLETE
38,0.11048480433781037,2026-07-14 05:33:59.269863,2026-07-14 05:35:38.476744,0 days 00:01:39.206881,0.21578519248223582,0.9331207154728489,0.3852006941528212,5,5,,COMPLETE
