number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_fixed_params,state
0,0.11050391403397224,2026-07-14 01:17:34.418811,2026-07-14 01:19:32.517350,0 days 00:01:58.098539,0.5,0.5,0.5,3,3,"{'blind': 0.5, 'max_iteration': 3, 'filter_size_surf': 0.5, 'filter_size_map': 0.5, 'point_filter_num': 3}",COMPLETE
1,0.11013722181773009,2026-07-14 01:19:32.517953,2026-07-14 01:21:47.542005,0 days 00:02:15.024052,0.9566603507525009,0.1457957772315373,0.6472521365619998,5,1,,COMPLETE
2,0.11033485456597153,2026-07-14 01:21:47.542548,2026-07-14 01:23:54.577173,0 days 00:02:07.034625,0.7471940967555863,0.2765112416645004,0.8485988266914181,1,2,,COMPLETE
3,0.1103246698121386,2026-07-14 01:23:54.577802,2026-07-14 01:25:53.530914,0 days 00:01:58.953112,0.9782962239250925,0.33248049439065963,0.3054862587265804,2,1,,COMPLETE
4,0.11046406356414559,2026-07-14 01:25:53.531557,2026-07-14 01:28:03.130127,0 days 00:02:09.598570,0.6091436304067016,0.4187612497721964,0.959327220814375,3,2,,COMPLETE
5,0.11054091933894199,2026-07-14 01:28:03.130784,2026-07-14 01:29:50.084937,0 days 00:01:46.954153,0.5980613717097522,0.6355049974717426,0.8846071217424636,4,5,,COMPLETE
6,0.11032968114870566,2026-07-14 01:29:50.085458,2026-07-14 01:31:54.860036,0 days 00:02:04.774578,0.8981009032007785,0.2677310045922664,0.6021168992672566,1,1,,COMPLETE
7,0.11034717960619662,2026-07-14 01:31:54.860558,2026-07-14 01:33:30.492002,0 days 00:01:35.631444,0.7340874891801156,0.6685783753014406,0.6476689716130742,6,4,,COMPLETE
8,0.1102182551434481,2026-07-14 01:33:30.492525,2026-07-14 01:35:34.026417,0 days 00:02:03.533892,0.927252715577451,0.43454338845831775,0.35735027255640395,1,1,,COMPLETE
9,0.11019470762461935,2026-07-14 01:35:34.027000,2026-07-14 01:37:26.720892,0 days 00:01:52.693892,0.9950636338332793,0.6135051922006557,0.6921803613207821,6,4,,COMPLETE
10,0.1111554210213388,2026-07-14 01:37:26.721431,2026-07-14 01:39:18.858095,0 days 00:01:52.136664,0.21456490287685226,0.8915024447247328,0.11696014221710488,5,6,,COMPLETE
11,0.11025729421534039,2026-07-14 01:39:18.858614,2026-07-14 01:41:24.326741,0 days 00:02:05.468127,0.9934626479652271,0.10304665260154759,0.7385245576969051,6,4,,COMPLETE
12,0.11036284185318743,2026-07-14 01:41:24.327275,2026-07-14 01:43:28.760487,0 days 00:02:04.433212,0.3841253036285148,0.7790738918406972,0.7553330261856962,5,3,,COMPLETE
13,0.11032436582836307,2026-07-14 01:43:28.761119,2026-07-14 01:45:12.264312,0 days 00:01:43.503193,0.7939781927004985,0.9926138033920551,0.46838979767599365,5,5,,COMPLETE
