number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
0,0.1098957294888721,2026-07-15 03:58:24.059438,2026-07-15 04:01:27.312915,0 days 00:03:03.253477,0.5,0.5,0.5,3,3,,,,,"{'blind': 0.5, 'max_iteration': 3, 'filter_size_surf': 0.5, 'filter_size_map': 0.5, 'point_filter_num': 3}",COMPLETE
1,0.10772121390197376,2026-07-15 04:01:33.012935,2026-07-15 04:04:44.129562,0 days 00:03:11.116627,0.267089969289002,0.4387297417090013,0.7310926491311653,4,3,0.0,0.0,,,,COMPLETE
2,0.11050091412603329,2026-07-15 04:04:44.157666,2026-07-15 04:07:59.144876,0 days 00:03:14.987210,0.5670901925400738,0.5605778014144381,0.757571240558233,4,3,0.0,0.0,,,,COMPLETE
3,0.10889667049434369,2026-07-15 04:07:59.172515,2026-07-15 04:10:56.651848,0 days 00:02:57.479333,0.40617915871273,0.2228646597060538,0.6352235980455962,4,4,0.0,0.0,,,,COMPLETE
4,0.10970087935379733,2026-07-15 04:11:11.658797,2026-07-15 04:14:05.768559,0 days 00:02:54.109762,0.7773834904023302,0.48336803069076106,0.21622258526180177,3,4,0.0,0.0,,,,COMPLETE
5,0.11029438089453561,2026-07-15 04:14:08.453191,2026-07-15 04:17:03.524380,0 days 00:02:55.071189,0.47390382897619165,0.6897947758775899,0.4362592950493437,4,4,0.0,0.0,,,,COMPLETE
6,0.11090654522118265,2026-07-15 04:17:03.548620,2026-07-15 04:20:27.869283,0 days 00:03:24.320663,0.5828771912424678,0.8328193731670881,0.43819017067433275,3,3,0.0,0.0,,,,COMPLETE
7,0.10859070458814567,2026-07-15 04:20:27.899369,2026-07-15 04:23:56.191756,0 days 00:03:28.292387,0.33167564219951895,0.5902883207514847,0.5313892746739091,3,4,0.0,0.0,,,,COMPLETE
8,0.10987123587819828,2026-07-15 04:24:01.618832,2026-07-15 04:26:59.907714,0 days 00:02:58.288882,0.4543497754001532,0.2530172212628172,0.33684098956377606,3,4,0.0,0.0,,,,COMPLETE
9,0.10896118407016338,2026-07-15 04:27:09.077123,2026-07-15 04:30:38.203196,0 days 00:03:29.126073,0.2834760564042729,0.5798950666240253,0.4053182447214062,3,3,1.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680b894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf712f7471306258080000005f705f7369676d617131682868294b00857132682b877133527134284b014b05857135680b8943286c4aefe21eb0fdbff24c43a8fbf5f63fec3709d873a5e73f2f1eefa76dc4e9bf5b5799c076d1cfbf71367471376258030000005f70637138682868294b00857139682b87713a52713b284b014b0585713c680b894328d9fb8894830c00c0117eea6a1ad3f83f84d0f7ced090e93ff4b8ad7fdddbebbf594a958c5133d1bf713d74713e6258050000005f6d65616e713f682868294b00857140682b877141527142284b014b05857143680b894328c686b0a4d6e6d43f79918052de610d40f02dd3d87672e43fe79b08c2b7fedc3fd000a4f6b3c20b4071447471456258050000005f635f31647146682868294b00857147682b877148527149284b014b0f85714a680b8943782cd92caf11adf43f9285e115a8c4cebfdbf49be42ab1c0bf70a2a54c1d50bd3f582f1dc4b215bb3f6ad453f7be99f53fda9eb55eed73c03f2d8f400e66d8c1bf6529296c4234d7bfc54dec7115d0f03f81a5cba4e0c5a8bf013c4bf2fde6b2bfaa1e0de5e4aff03f1b28abff1958b13fd397a2346dd5f33f714b74714c6258060000005f7369676d61714d6807680b4,3085684452efc5ec43f714e86714f52715058020000005f4471514e58020000005f4271524e58070000005f626f756e64737153682868294b00857154682b877155527156284b014b054b02867157680b8943509a9999999999b93f000000000000f03f000000000000e03f0000000000001a409a9999999999b93f000000000000f03f9a9999999999b93f000000000000f03f000000000000e03f0000000000001a4071587471596258110000005f6e5f6d61785f726573616d706c696e67715a4b3258020000005f67715b4b0158050000005f746f6c78715c6807680b4308e11837ce511c453d715d86715e52715f58070000005f746f6c78757071604740c388000000000058070000005f746f6c66756e7161473d719799812dea1158100000005f746f6c636f6e646974696f6e636f7671624742d6bcc41e900000580d0000005f66756e686973745f7465726d71634b1d580f0000005f66756e686973745f76616c7565737164682868294b00857165682b877166527167284b014b3a857168680b8942d001000070ea113a000000000000000000000000a85dcb129e93bb3fb427a3105f64bc3f00000000000000000000000000000000586d0c3b00000000a8f86f3a000000000000000000000000060000000100000005000500c670000001000000000000008cf86f3a00000000def32f3b000000003d0000003d00000017000000510000002b0000000100000000000000060000000b0000002d0000003c0000003d0000003d000000000000000000020000000000585c8d3a00000000d88c143b00000000000000000000000000000000000000001800000000000000def32f3b000000003d0000003d000000000000000000000000000000000000000100000000000000ff01010001000000081a24d7c6700000a0a0ead1c6700000505d13d7c6700000905471b9c670000000000000000000000000000000000000d01e303b00000000d01e303b00000000d82715d7c6700000c8cb22a5c6700000d0e863a6c670000030b022a5c670000078b022a5c670000090b022a5c6700000207bb4a6c670000038cc22a5c670000070cc22a5c6700000b07f22a5c6700000106128d7c6700000f07022a5c670000050b627d7c6700000700918d7c6700000305e24d7c6700000f0552bd7c6700000f0e717d7c6700000716974716a6275622e,,COMPLETE
10,0.10937764918370547,2026-07-15 04:30:38.248644,2026-07-15 04:33:41.796148,0 days 00:03:03.547504,0.3368362064002291,0.44258163569349623,0.6149499942078002,4,4,1.0,0.0,,,,COMPLETE
11,0.10848899425860732,2026-07-15 04:33:46.026187,2026-07-15 04:37:03.055198,0 days 00:03:17.029011,0.392257394896115,0.6265910251805796,0.6723246861964963,3,3,1.0,0.0,,,,COMPLETE
12,0.10801537584627803,2026-07-15 04:37:11.877274,2026-07-15 04:40:37.279632,0 days 00:03:25.402358,0.2229734807643402,0.6446318680569969,0.64991837796663,4,3,1.0,0.0,,,,COMPLETE
13,0.10930484812396575,2026-07-15 04:40:37.305819,2026-07-15 04:43:49.718872,0 days 00:03:12.413053,0.3571055892713199,0.610015675028701,0.9725173275085501,4,3,1.0,0.0,,,,COMPLETE
14,0.10949528660137568,2026-07-15 04:43:49.746361,2026-07-15 04:46:58.671736,0 days 00:03:08.925375,0.38023005705591995,0.5333902169188561,0.6809080248064042,4,3,1.0,0.0,,,,COMPLETE
15,0.10965878372594066,2026-07-15 04:46:58.804677,2026-07-15 04:50:13.630647,0 days 00:03:14.825970,0.6885748114999037,0.6374722650864323,0.7853371553553409,4,3,1.0,0.0,,,,COMPLETE
16,0.10878483723573577,2026-07-15 04:50:18.981599,2026-07-15 04:53:43.058502,0 days 00:03:24.076903,0.3842859458720473,0.1741168968534002,0.529614840783618,4,3,1.0,0.0,,,,COMPLETE
17,0.10944845926055943,2026-07-15 04:53:43.083071,2026-07-15 04:56:59.747860,0 days 00:03:16.664789,0.4763331999794669,0.5933519137008827,0.6918048421468844,4,3,2.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b0074713262894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b05857139680b894328431e7655b0a8f5bf66449f49e49fde3f089cafa8c0ded43f969515447e0cdd3fa123cda9ddab0cc0713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b05857140680b894328f0db95c1b9a5f1bfa5fd2bbc134ceb3fc2219f61af1cdc3f4ff4428f34a2debf4efaca99e4e9c2bf71417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b058571476831894328753fc6dd5600d33f79918052de610d4034e54be6a120e43fc604532ff439e23f000000000000084071487471496258060000005f7369676d61714a6807680b4308abd73da9f373c93f714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b054b0286715468318943509a9999999999b93f000000000000f03f000000000000e03f0000000000001a409a9999999999b93f0000000,00000f03f9a9999999999b93f000000000000f03f000000000000e03f0000000000001a4071557471566258110000005f6e5f6d61785f726573616d706c696e6771574b3258020000005f6771584b0258050000005f746f6c7871596807680b4308e11837ce511c453d715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b1d580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b3a85716568318942d001000070ea113a000000000000000000000000a85dcb129e93bb3fb427a3105f64bc3fdd93b94ae5a6bb3f0372d2199912bc3f586d0c3b00000000a8f86f3a000000000000000000000000060000000100000005000500c670000001000000000000008cf86f3a00000000def32f3b000000003d0000003d00000017000000510000002b0000000100000000000000060000000b0000002d0000003c0000003d0000003d000000000000000000020000000000585c8d3a00000000d88c143b00000000000000000000000000000000000000001800000000000000def32f3b000000003d0000003d000000000000000000000000000000000000000100000000000000ff01010001000000081a24d7c6700000a0a0ead1c6700000505d13d7c6700000905471b9c670000000000000000000000000000000000000d01e303b00000000d01e303b00000000d82715d7c6700000c8cb22a5c6700000d0e863a6c670000030b022a5c670000078b022a5c670000090b022a5c6700000207bb4a6c670000038cc22a5c670000070cc22a5c6700000b07f22a5c6700000106128d7c6700000f07022a5c670000050b627d7c6700000700918d7c6700000305e24d7c6700000f0552bd7c6700000f0e717d7c670000071667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0f85716c680b89437847fce9beab8df53f486ebdf8763cd9bf2c26c2800062c7bf9847f6f0f0ffb83fe0ce43bcf4a9cc3fcd7e2ef2a5f3f93f76a8a4ac2afebb3fd87849edc1d1cdbf27b888bc17f6cfbf4d9d875a6d4af13f103956f785b8b1bf283d8921b95e8ebfcaf05cdb1d0cf23ff6a909dde017ad3f312e3787be0cf53f716d74716e6275622e,,COMPLETE
18,0.10851196535677425,2026-07-15 04:57:00.834388,2026-07-15 04:59:44.243120,0 days 00:02:43.408732,0.18199426208349578,0.6341634454725391,0.4481726526646151,3,3,2.0,0.0,,,,COMPLETE
19,0.10958362612363298,2026-07-15 04:59:44.270077,2026-07-15 05:02:38.717265,0 days 00:02:54.447188,0.45636312010347124,0.7584464641754561,0.6444058998464585,4,3,2.0,0.0,,,,COMPLETE
20,0.10776330791772974,2026-07-15 05:02:38.758882,2026-07-15 05:05:52.848171,0 days 00:03:14.089289,0.34537298738582844,0.4688064740133347,0.330412413545881,4,3,2.0,0.0,,,,COMPLETE
21,0.10873310705112546,2026-07-15 05:05:56.175256,2026-07-15 05:08:49.023582,0 days 00:02:52.848326,0.18730578136269885,0.3116071842947307,0.7079595517648636,4,3,2.0,0.0,,,,COMPLETE
22,0.10854268194371108,2026-07-15 05:08:49.050880,2026-07-15 05:11:53.194326,0 days 00:03:04.143446,0.15864511776851908,0.38275570381308943,0.33632712276278853,4,3,2.0,0.0,,,,COMPLETE
