number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_fixed_params,state
0,0.10885441513618252,2026-07-15 06:35:00.248268,2026-07-15 06:37:51.387482,0 days 00:02:51.139214,0.5,0.5,0.5,3,3,"{'blind': 0.5, 'max_iteration': 3, 'filter_size_surf': 0.5, 'filter_size_map': 0.5, 'point_filter_num': 3}",COMPLETE
1,0.10941514734472615,2026-07-15 06:37:51.415398,2026-07-15 06:41:19.676102,0 days 00:03:28.260704,0.7240921607663537,0.14951153516186666,0.2581283310483192,5,2,,COMPLETE
2,0.10928232264396154,2026-07-15 06:41:19.702358,2026-07-15 06:44:16.421382,0 days 00:02:56.719024,0.5676616920020404,0.8048971247648105,0.5879126269857998,5,2,,COMPLETE
3,0.10948625478083904,2026-07-15 06:44:16.456583,2026-07-15 06:47:42.432012,0 days 00:03:25.975429,0.6229747662854379,0.7373715759475872,0.5641615831854389,5,5,,COMPLETE
4,0.11098051816803986,2026-07-15 06:47:42.460371,2026-07-15 06:50:42.922091,0 days 00:03:00.461720,0.5757744240181206,0.6582933650001561,0.7098038870897934,3,1,,COMPLETE
5,0.11092309552338969,2026-07-15 06:50:42.949857,2026-07-15 06:54:34.692867,0 days 00:03:51.743010,0.8098195140342673,0.5551998082800887,0.15743592853000557,4,4,,COMPLETE
6,0.1084607391201773,2026-07-15 06:54:35.079538,2026-07-15 06:58:00.561799,0 days 00:03:25.482261,0.6285148111368342,0.9722287921264054,0.4840586549104876,5,6,,COMPLETE
7,0.10930344071884592,2026-07-15 06:58:00.644305,2026-07-15 07:01:04.667547,0 days 00:03:04.023242,0.5292209961069235,0.9234799512346809,0.4183156989357347,5,2,,COMPLETE
8,0.10947837901670819,2026-07-15 07:01:04.699906,2026-07-15 07:04:21.944065,0 days 00:03:17.244159,0.47518222463636584,0.1352087981549765,0.9924333680472174,2,6,,COMPLETE
9,0.10837825433949858,2026-07-15 07:04:25.965525,2026-07-15 07:07:52.954733,0 days 00:03:26.989208,0.22773086521521074,0.9734914300989419,0.8824607549137001,1,2,,COMPLETE
10,0.10954313794212281,2026-07-15 07:07:52.990945,2026-07-15 07:11:45.992646,0 days 00:03:53.001701,0.4798596907090442,0.374478952173691,0.2421994378828656,4,3,,COMPLETE
11,0.11000236072674043,2026-07-15 07:11:52.606352,2026-07-15 07:15:14.932662,0 days 00:03:22.326310,0.5856136165349806,0.11248976884150964,0.9938887303162642,1,5,,COMPLETE
12,0.10851196535677425,2026-07-15 07:15:19.372815,2026-07-15 07:19:08.978871,0 days 00:03:49.606056,0.1,0.9999999999999999,0.9600548726799428,2,1,,COMPLETE
13,0.10851196535677425,2026-07-15 07:19:09.829661,2026-07-15 07:23:04.330980,0 days 00:03:54.501319,0.1029698666745405,0.2667054648672559,0.549420310061149,5,2,,COMPLETE
14,0.10854268194371108,2026-07-15 07:23:04.354798,2026-07-15 07:26:27.514803,0 days 00:03:23.160005,0.1,0.12446762873017128,0.9108443105660015,6,5,,COMPLETE
15,0.10854268194371108,2026-07-15 07:26:27.541515,2026-07-15 07:29:51.516517,0 days 00:03:23.975002,0.18753880085028654,0.6814565805229529,0.16702821434469337,1,1,,COMPLETE
16,0.10854268194371108,2026-07-15 07:29:51.548480,2026-07-15 07:32:50.529996,0 days 00:02:58.981516,0.1,0.9999999999999999,0.9618571863133489,1,3,,COMPLETE
17,0.11032212152816652,2026-07-15 07:32:50.557697,2026-07-15 07:36:32.816201,0 days 00:03:42.258504,0.9992863805465335,0.768058853625891,0.8660912314946096,1,4,,COMPLETE
18,0.10983998016688472,2026-07-15 07:36:32.839126,2026-07-15 07:39:20.903885,0 days 00:02:48.064759,0.9658360509519289,0.8554108131159446,0.6169867445463515,6,3,,COMPLETE
19,0.10848668868917215,2026-07-15 07:39:21.001704,2026-07-15 07:42:33.059353,0 days 00:03:12.057649,0.9425280195468879,0.867249396187194,0.45853095971368374,6,4,,COMPLETE
20,0.10873310705112546,2026-07-15 07:42:33.102174,2026-07-15 07:45:53.295301,0 days 00:03:20.193127,0.1,0.9233518956194633,0.1,1,3,,COMPLETE
21,0.10851196535677425,2026-07-15 07:45:53.327307,2026-07-15 07:49:24.393590,0 days 00:03:31.066283,0.10155939186248619,0.9979477263417481,0.8243987313474691,3,4,,COMPLETE
22,0.10969992937465627,2026-07-15 07:49:24.419093,2026-07-15 07:53:12.011388,0 days 00:03:47.592295,0.9547662759153487,0.4630300678767031,0.2813334011761226,3,6,,COMPLETE
23,0.10933589409493859,2026-07-15 07:53:12.039169,2026-07-15 07:56:32.798040,0 days 00:03:20.758871,0.6377795016345094,0.919693757967631,0.20477458201140608,5,3,,COMPLETE
24,0.10908410218522234,2026-07-15 07:56:32.825091,2026-07-15 07:59:24.617840,0 days 00:02:51.792749,0.20807106122326524,0.11614114909716684,0.8255809087517483,2,2,,COMPLETE
25,0.10953006401029376,2026-07-15 07:59:24.641197,2026-07-15 08:02:36.261187,0 days 00:03:11.619990,0.9322969838097749,0.5937953022530954,0.5303186639434795,2,5,,COMPLETE
26,0.10854268194371108,2026-07-15 08:02:36.289245,2026-07-15 08:05:53.687853,0 days 00:03:17.398608,0.18337734179267842,0.9828943117517432,0.9123383651440055,4,5,,COMPLETE
