number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_fixed_params,state
0,0.1098957294888721,2026-07-15 01:08:11.159709,2026-07-15 01:12:15.974593,0 days 00:04:04.814884,0.5,0.5,0.5,3,3,"{'blind': 0.5, 'max_iteration': 3, 'filter_size_surf': 0.5, 'filter_size_map': 0.5, 'point_filter_num': 3}",COMPLETE
1,0.10803375092570983,2026-07-15 01:12:16.006570,2026-07-15 01:15:44.694387,0 days 00:03:28.687817,0.4959387450596141,0.5305660362179384,0.47164995008399924,6,5,,COMPLETE
2,0.10967631368053767,2026-07-15 01:15:44.728017,2026-07-15 01:19:13.929542,0 days 00:03:29.201525,0.6984310701676398,0.15339717300820488,0.9301587105053833,1,1,,COMPLETE
3,0.10843253260668084,2026-07-15 01:19:13.982277,2026-07-15 01:23:17.995388,0 days 00:04:04.013111,0.9007070919621867,0.46977543618313067,0.9396275746019597,1,2,,COMPLETE
4,0.1099254084112778,2026-07-15 01:23:34.514058,2026-07-15 01:26:46.177537,0 days 00:03:11.663479,0.49807026706829705,0.7078246693442962,0.493256041767439,1,2,,COMPLETE
5,0.1087770180362528,2026-07-15 01:27:09.420024,2026-07-15 01:31:03.189084,0 days 00:03:53.769060,0.34093476023996816,0.3446750172630578,0.13979394287472371,5,4,,COMPLETE
6,0.10949825222509095,2026-07-15 01:31:16.237975,2026-07-15 01:34:30.284869,0 days 00:03:14.046894,0.9589168781437081,0.4192170133881028,0.5637501787693808,4,2,,COMPLETE
7,0.11030747686945498,2026-07-15 01:34:30.309578,2026-07-15 01:38:07.157798,0 days 00:03:36.848220,0.36633027185826683,0.3522893623668124,0.14636478932673966,5,5,,COMPLETE
8,0.10931312605499953,2026-07-15 01:38:07.268088,2026-07-15 01:41:48.270572,0 days 00:03:41.002484,0.6542467090954375,0.22414202102480185,0.44348712760602804,4,4,,COMPLETE
9,0.10965453912247164,2026-07-15 01:41:48.297748,2026-07-15 01:45:14.152653,0 days 00:03:25.854905,0.8253397388287421,0.7345365987109699,0.9925756006601573,2,1,,COMPLETE
10,0.10854268194371108,2026-07-15 01:45:14.177861,2026-07-15 01:48:44.598570,0 days 00:03:30.420709,0.11173558417838958,0.9993135916338123,0.7170853717220713,6,6,,COMPLETE
11,0.10835136052483198,2026-07-15 01:48:44.624075,2026-07-15 01:51:49.470861,0 days 00:03:04.846786,0.9871813521817356,0.6420820428922562,0.77806230485447,6,6,,COMPLETE
12,0.11047547747138574,2026-07-15 01:51:49.505523,2026-07-15 01:55:14.543656,0 days 00:03:25.038133,0.7126370089805807,0.689427113803157,0.737657899434063,6,6,,COMPLETE
13,0.1090189295223644,2026-07-15 01:55:14.568680,2026-07-15 01:58:41.215630,0 days 00:03:26.646950,0.28499629111566255,0.6098618664502529,0.33625486075649735,6,5,,COMPLETE
14,0.10969033852028925,2026-07-15 01:58:41.242337,2026-07-15 02:02:22.233530,0 days 00:03:40.991193,0.5903750587925619,0.9061271572550188,0.7196419112785047,5,5,,COMPLETE
15,0.11043339503880834,2026-07-15 02:02:22.259181,2026-07-15 02:05:44.481820,0 days 00:03:22.222639,0.8348315817039,0.8253659112618116,0.28419952836429235,6,6,,COMPLETE
16,0.10926915860195105,2026-07-15 02:05:44.518495,2026-07-15 02:09:30.388472,0 days 00:03:45.869977,0.4348504669604471,0.5525697620714428,0.6247482667980244,5,5,,COMPLETE
