number,value,datetime_start,datetime_complete,duration,params_edgeThreshold,params_groundScanInd,params_nearestFeatureSearchSqDist,params_surfThreshold,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
0,0.08278448850836864,2026-07-14 11:06:34.742930,2026-07-14 11:08:52.107827,0 days 00:02:17.364897,0.1,7,25,0.1,,,,,"{'groundScanInd': 7, 'edgeThreshold': 0.1, 'surfThreshold': 0.1, 'nearestFeatureSearchSqDist': 25}",COMPLETE
1,0.08685166921078809,2026-07-14 11:08:52.108367,2026-07-14 11:11:18.508220,0 days 00:02:26.399853,0.21900733978105424,7,28,0.12785849024140936,0.0,0.0,,,,COMPLETE
2,0.07790025068420593,2026-07-14 11:11:18.509908,2026-07-14 11:13:34.391091,0 days 00:02:15.881183,0.09062531208797896,8,28,0.12684332762290365,0.0,0.0,,,,COMPLETE
3,0.15981231724006417,2026-07-14 11:13:34.391578,2026-07-14 11:15:55.190638,0 days 00:02:20.799060,0.22789303924041426,8,27,0.11379747288303674,0.0,0.0,,,,COMPLETE
4,0.08811261586170913,2026-07-14 11:15:55.191174,2026-07-14 11:18:09.311656,0 days 00:02:14.120482,0.13835288895250505,8,27,0.168500201593746,0.0,0.0,,,,COMPLETE
5,0.08501532095156328,2026-07-14 11:18:09.312496,2026-07-14 11:20:25.130505,0 days 00:02:15.818009,0.1994554242938222,7,28,0.1633015558446154,0.0,0.0,,,,COMPLETE
6,0.1783324262973424,2026-07-14 11:20:25.131154,2026-07-14 11:22:40.766795,0 days 00:02:15.635641,0.10355078711902102,8,28,0.10229704054803503,0.0,0.0,,,,COMPLETE
7,0.3332566375693167,2026-07-14 11:22:40.767411,2026-07-14 11:24:57.090391,0 days 00:02:16.322980,0.22033559519575338,8,28,0.24439789268453832,0.0,0.0,,,,COMPLETE
8,0.08433507371513212,2026-07-14 11:24:57.091056,2026-07-14 11:27:09.876909,0 days 00:02:12.785853,0.14973237981553994,8,27,0.1458802716207149,0.0,0.0,,,,COMPLETE
9,0.0848835732131145,2026-07-14 11:27:09.877522,2026-07-14 11:29:33.526043,0 days 00:02:23.648521,0.2136603881341484,8,27,0.2839138167965304,1.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0458080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b4308000000000000e03f711286711352711458030000005f633171156807680b430862115f01d0aeb03f711686711752711858040000005f636d7571196807680b430815282f55d11faa3f711a86711b52711c58080000005f635f7369676d61711d6807680b430830ce38804161d93f711e86711f52712058080000005f645f7369676d6171216807680b43088c330e605058f63f712286712352712458030000005f636d71254b0158060000005f6368695f6e7126473ffe18618618618658080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680b894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fcb8b860adec6c5bf6f2cafd2f5baddbfd4e62ed098d4e6bf6f2cafd2f5baedbf712f7471306258080000005f705f7369676d617131682868294b00857132682b877133527134284b014b04857135680b894320831d38b8e96421403a476a836ddfebbff9f4de003acfe3bf26f39de5039e174071367471376258030000005f70637138682868294b00857139682b87713a52713b284b014b0485713c680b8943200000000000000000000000000000000000000000000000000000000000000000713d74713e6258050000005f6d65616e713f682868294b00857140682b877141527142284b014b04857143680b894320e191d24d38431f401224125c036fc03feb28b096ad9ac13f6edbb66ddbb63b4071447471456258050000005f635f31647146682868294b00857147682b877148527149284b014b0a85714a680b89435036ba359aaeb51a402fb229a3b130e2bf9b8e215e1088cfbf21e9c3c5f300d03f3cf7f3c419d6f13f4ddb88062c849a3fad9618e01d24d3bfd61960bf6cf9f03f6f23aa7cb70cc7bf36ba359aaeb51a40714b74714c6258060000005f7369676d61714d6807680b43086219d19cd829c63f714e86714f52715058020000005f4471514e58020000005f4271524e58070000005f626f756e64737153682868294b00857154682b877,155527156284b014b044b02867157680b894340000000000000044000000000000029407b14ae47e17a943f333333333333d33f7b14ae47e17a943f333333333333d33f0000000000001240000000000040494071587471596258110000005f6e5f6d61785f726573616d706c696e67715a4b2858020000005f67715b4b0158050000005f746f6c78715c6807680b4308895d111d60452a3d715d86715e52715f58070000005f746f6c78757071604740c388000000000058070000005f746f6c66756e7161473d719799812dea1158100000005f746f6c636f6e646974696f6e636f7671624742d6bcc41e900000580d0000005f66756e686973745f7465726d71634b19580f0000005f66756e686973745f76616c7565737164682868294b00857165682b877166527167284b014b32857168680b89429001000060fc530600000000000000000000000021f3095545f1b33fbd3fe2a51354d53f6400850264006602190013007d0274046a057c006a067c028302530029024e72010000002907da046e64696d722d000000723900000072410000007215000000da03646f74723a0000002903721f000000722d000000da0178722400000072240000007225000000da0a5f63616c6c5f696d706cb6000000730800000000010a01180222027a1b4c736f646144656e73654f75747075742e5f63616c6c5f696d706c2906723c000000723d000000723e000000721300000072450000007240000000722400000072240000002901722300000072250000007237000000af000000730400000008010c067237000000290d5a056e756d707972150000005a0f73636970792e696e746567726174657202000000da06636f6d6d6f6e720400000072050000007206000000da046261736572070000007208000000720900000072370000007224000000722400000072240000007225000000da083c6d6f64756c653e01000000730c00000008010c0114716974716a6275622e,,COMPLETE
