number,value,datetime_start,datetime_complete,duration,params_FlatThreshold,params_KdTreeCornerOutlierDis,params_LidarNearestDis,params_NumFlat,system_attrs_fixed_params,state
0,0.2384486499755713,2026-07-14 07:47:16.127840,2026-07-14 07:48:52.318766,0 days 00:01:36.190926,0.02,0.2,1.0,3,"{'LidarNearestDis': 1.0, 'FlatThreshold': 0.02, 'NumFlat': 3, 'KdTreeCornerOutlierDis': 0.2}",COMPLETE
1,0.23841374653814043,2026-07-14 07:48:52.319350,2026-07-14 07:50:38.385149,0 days 00:01:46.065799,0.055827976512437594,0.13066144643605676,1.5883498811113739,3,,COMPLETE
2,0.2385164630407047,2026-07-14 07:50:38.385677,2026-07-14 07:52:21.340488,0 days 00:01:42.954811,0.04014861847411388,0.07995242742493908,0.9448109332678973,5,,COMPLETE
3,0.2384486499755713,2026-07-14 07:52:21.340996,2026-07-14 07:53:47.029127,0 days 00:01:25.688131,0.03826400576149075,0.48622573029667837,1.1155617641733442,5,,COMPLETE
4,0.23904587890718904,2026-07-14 07:53:47.029702,2026-07-14 07:55:33.318760,0 days 00:01:46.289058,0.019226926070815206,0.4878885403746714,0.6820236864561602,3,,COMPLETE
5,0.2384486499755713,2026-07-14 07:55:33.319323,2026-07-14 07:57:03.500155,0 days 00:01:30.180832,0.050245099852881114,0.12043980925863754,1.040739634510908,1,,COMPLETE
6,0.2378997211999705,2026-07-14 07:57:03.500748,2026-07-14 07:58:40.845997,0 days 00:01:37.345249,0.007898393059411321,0.20842108864456238,1.9999999999999998,4,,COMPLETE
7,0.23815817729096514,2026-07-14 07:58:40.846569,2026-07-14 08:00:04.866814,0 days 00:01:24.020245,0.03426161751902992,0.07993294139694945,0.30054521076277757,2,,COMPLETE
8,0.23876655458780358,2026-07-14 08:00:04.867336,2026-07-14 08:02:01.534271,0 days 00:01:56.666935,0.023859458322717984,0.316434199045527,0.8268633458028767,4,,COMPLETE
9,0.23843599200809726,2026-07-14 08:02:01.534841,2026-07-14 08:03:28.363015,0 days 00:01:26.828174,0.03752624559413525,0.3095658359194118,0.987725167328372,5,,COMPLETE
10,0.23841680128650933,2026-07-14 08:03:28.363574,2026-07-14 08:04:57.104261,0 days 00:01:28.740687,0.023152423463080544,0.49999999999999994,1.866601961612819,1,,COMPLETE
11,0.2387925855073976,2026-07-14 08:04:57.104850,2026-07-14 08:06:31.939398,0 days 00:01:34.834548,0.06781485319183925,0.11244907389837952,0.7699165330498758,4,,COMPLETE
12,0.2384461278459024,2026-07-14 08:06:31.939973,2026-07-14 08:08:07.998314,0 days 00:01:36.058341,0.062594668523624,0.13629976210253342,1.3644863890348082,1,,COMPLETE
13,0.23870731780543472,2026-07-14 08:08:07.999058,2026-07-14 08:09:40.433811,0 days 00:01:32.434753,0.03976242806157999,0.2300519051298343,0.5873866457377582,5,,COMPLETE
14,0.23777396569746628,2026-07-14 08:09:40.434360,2026-07-14 08:11:11.250866,0 days 00:01:30.816506,0.07723093852457807,0.40128225741276025,0.8181992491984598,3,,COMPLETE
15,0.2387959814793589,2026-07-14 08:11:11.251484,2026-07-14 08:12:57.760475,0 days 00:01:46.508991,0.07872718396672378,0.4793239422678625,1.97822960302849,2,,COMPLETE
16,0.23815817729096514,2026-07-14 08:12:57.761044,2026-07-14 08:14:22.267540,0 days 00:01:24.506496,0.07877454866879233,0.4083135533405223,0.32297872212501194,1,,COMPLETE
17,0.23840344761775267,2026-07-14 08:14:22.268089,2026-07-14 08:15:59.095876,0 days 00:01:36.827787,0.07999999999999999,0.49999999999999994,0.9305113678593331,2,,COMPLETE
18,0.2383715064224577,2026-07-14 08:15:59.096405,2026-07-14 08:17:35.930885,0 days 00:01:36.834480,0.07955443795610805,0.2796775076041469,1.922308706345649,4,,COMPLETE
19,0.23846371684756748,2026-07-14 08:17:35.931448,2026-07-14 08:19:01.041891,0 days 00:01:25.110443,0.07999999999999999,0.34975819427846,0.887074467269483,5,,COMPLETE
20,0.23839859267380453,2026-07-14 08:19:01.042445,2026-07-14 08:20:35.524683,0 days 00:01:34.482238,0.03294304854195472,0.41187561877879186,1.6646261393626642,6,,COMPLETE
21,0.23841362019936724,2026-07-14 08:20:35.525619,2026-07-14 08:22:05.642029,0 days 00:01:30.116410,0.07999999999999999,0.38535479577491144,0.5735177206050646,3,,COMPLETE
22,0.2384455861159305,2026-07-14 08:22:05.642608,2026-07-14 08:23:35.163116,0 days 00:01:29.520508,0.07636820028019795,0.40435026520235173,1.6088565488022395,2,,COMPLETE
23,0.2378461951113296,2026-07-14 08:23:35.163675,2026-07-14 08:25:07.680465,0 days 00:01:32.516790,0.007103141605913759,0.21025950289016687,0.6800829026517146,5,,COMPLETE
24,0.2384461278459024,2026-07-14 08:25:07.680988,2026-07-14 08:26:32.118069,0 days 00:01:24.437081,0.04548208907578987,0.15502362494399163,1.4183794710547137,2,,COMPLETE
25,0.23904472911408545,2026-07-14 08:26:32.118658,2026-07-14 08:28:28.875141,0 days 00:01:56.756483,0.012815024385625165,0.059996460445039985,0.8552301203711881,4,,COMPLETE
26,0.23856945548665526,2026-07-14 08:28:28.875739,2026-07-14 08:30:07.323176,0 days 00:01:38.447437,0.007719311877479185,0.1528475365610295,0.7885321131055797,2,,COMPLETE
27,0.23841066246623469,2026-07-14 08:30:07.323800,2026-07-14 08:31:44.530056,0 days 00:01:37.206256,0.02634140435368687,0.3960757577475049,1.4752191918071245,5,,COMPLETE
28,0.23841658634051588,2026-07-14 08:31:44.530627,2026-07-14 08:33:46.490927,0 days 00:02:01.960300,0.03535373210707229,0.23089459653707495,1.7102124421195326,4,,COMPLETE
