number,value,datetime_start,datetime_complete,duration,params_FlatThreshold,params_KdTreeCornerOutlierDis,params_LidarNearestDis,params_NumFlat,system_attrs_fixed_params,state
0,0.2384486499755713,2026-07-14 15:32:05.701637,2026-07-14 15:33:27.622153,0 days 00:01:21.920516,0.02,0.2,1.0,3,"{'LidarNearestDis': 1.0, 'FlatThreshold': 0.02, 'NumFlat': 3, 'KdTreeCornerOutlierDis': 0.2}",COMPLETE
1,0.23847494132452862,2026-07-14 15:33:27.622786,2026-07-14 15:34:50.176822,0 days 00:01:22.554036,0.07591965754300081,0.3194917569237378,1.2237960336830391,4,,COMPLETE
2,inf,2026-07-14 15:34:50.177382,2026-07-14 15:36:31.127381,0 days 00:01:40.949999,0.011558052036932177,0.16691010157665342,1.6357566653378308,4,,COMPLETE
3,0.2520653350122955,2026-07-14 15:36:31.127993,2026-07-14 15:38:12.614141,0 days 00:01:41.486148,0.016068388660846224,0.16863956235223204,1.3923436561275215,2,,COMPLETE
4,0.23849841055953702,2026-07-14 15:38:12.614702,2026-07-14 15:39:40.658368,0 days 00:01:28.043666,0.024342718389116093,0.3231954624394707,1.786026439655455,4,,COMPLETE
5,0.23870573331594366,2026-07-14 15:39:40.658914,2026-07-14 15:41:10.319124,0 days 00:01:29.660210,0.023855750284585434,0.3423351084664749,1.5721131981447551,6,,COMPLETE
6,0.23838935704619763,2026-07-14 15:41:10.319730,2026-07-14 15:42:35.011051,0 days 00:01:24.691321,0.06055312952209952,0.3820125044216639,1.3793774839658606,5,,COMPLETE
7,inf,2026-07-14 15:42:35.011957,2026-07-14 15:44:10.539362,0 days 00:01:35.527405,0.03627212821325454,0.4453928423163973,0.9259916937870691,6,,COMPLETE
8,0.23869370178736224,2026-07-14 15:44:10.539944,2026-07-14 15:45:31.497116,0 days 00:01:20.957172,0.06482410924472828,0.12682440824838953,1.7739078832252042,1,,COMPLETE
9,inf,2026-07-14 15:45:31.497667,2026-07-14 15:46:57.430650,0 days 00:01:25.932983,0.05297914950917024,0.4443702642780807,1.4789042669409067,3,,COMPLETE
10,0.24176537428420974,2026-07-14 15:46:57.431242,2026-07-14 15:48:38.337979,0 days 00:01:40.906737,0.05443138633622421,0.48547821816027115,0.41164302049645674,5,,COMPLETE
11,0.23818411732832662,2026-07-14 15:48:38.338519,2026-07-14 15:50:00.867505,0 days 00:01:22.528986,0.04071433966337844,0.22909826958383167,0.9076960386805268,3,,COMPLETE
12,0.23827106493283498,2026-07-14 15:50:00.868029,2026-07-14 15:51:38.099312,0 days 00:01:37.231283,0.0427943779721754,0.06144379878372877,0.6759457921113528,5,,COMPLETE
13,0.23846574098218648,2026-07-14 15:51:38.099861,2026-07-14 15:53:06.926682,0 days 00:01:28.826821,0.03851149197963293,0.24750956618175324,0.6010789054161755,2,,COMPLETE
14,0.23907346910877733,2026-07-14 15:53:06.927258,2026-07-14 15:54:42.477480,0 days 00:01:35.550222,0.04656767201468673,0.06262291702345782,0.7580828906844361,5,,COMPLETE
15,0.23866429132568318,2026-07-14 15:54:42.478002,2026-07-14 15:56:10.161311,0 days 00:01:27.683309,0.034461471588127617,0.055465645692075835,0.30199958720601305,2,,COMPLETE
16,0.2387393119614336,2026-07-14 15:56:10.161867,2026-07-14 15:57:40.773236,0 days 00:01:30.611369,0.029756537900154693,0.254165935948369,0.6203862894121073,3,,COMPLETE
17,0.2384167682931275,2026-07-14 15:57:40.773796,2026-07-14 15:59:08.891576,0 days 00:01:28.117780,0.04559231892852669,0.12934969243766747,1.0666712244241987,5,,COMPLETE
18,0.23942869634240782,2026-07-14 15:59:08.892178,2026-07-14 16:00:32.074580,0 days 00:01:23.182402,0.07059217709767951,0.09959442090895865,0.7817459527986217,1,,COMPLETE
19,0.2384486499755713,2026-07-14 16:00:32.075110,2026-07-14 16:02:03.754885,0 days 00:01:31.679775,0.052767777340962815,0.21255755475128094,1.1755673803742805,6,,COMPLETE
20,0.23849394117580025,2026-07-14 16:02:03.755464,2026-07-14 16:03:31.897924,0 days 00:01:28.142460,0.00623471220054464,0.2785336177101278,0.8652007570205043,4,,COMPLETE
21,0.2384486499755713,2026-07-14 16:03:31.898463,2026-07-14 16:05:29.720720,0 days 00:01:57.822257,0.060991247780427166,0.3632720395882592,1.304305489483857,5,,COMPLETE
22,0.23835928149296395,2026-07-14 16:05:29.721406,2026-07-14 16:07:00.764262,0 days 00:01:31.042856,0.04204209313609933,0.38023775120846204,0.631782864038869,5,,COMPLETE
23,0.23840895456444308,2026-07-14 16:07:00.764819,2026-07-14 16:08:36.336553,0 days 00:01:35.571734,0.04420506071143384,0.3960235218423598,0.5625707348439043,3,,COMPLETE
24,0.23842242380426393,2026-07-14 16:08:36.337131,2026-07-14 16:10:09.917064,0 days 00:01:33.579933,0.02929710352681173,0.29682543084154633,0.5000432433955772,4,,COMPLETE
25,0.2418267286836386,2026-07-14 16:10:09.917667,2026-07-14 16:11:40.459251,0 days 00:01:30.541584,0.04181155551709153,0.4280824164847162,0.7259220442629806,6,,COMPLETE
26,0.23826409721749256,2026-07-14 16:11:40.459842,2026-07-14 16:13:15.930746,0 days 00:01:35.470904,0.04915699554655979,0.23220055071646747,0.8739651271612372,5,,COMPLETE
27,0.2386252527936999,2026-07-14 16:13:15.931266,2026-07-14 16:14:43.723143,0 days 00:01:27.791877,0.05049227733151817,0.22008070773257288,0.9070178550582941,4,,COMPLETE
28,0.23846537691307165,2026-07-14 16:14:43.723662,2026-07-14 16:16:07.729257,0 days 00:01:24.005595,0.05830828329716409,0.17370316018900434,1.0756808222826968,3,,COMPLETE
29,0.2384486499755713,2026-07-14 16:16:07.729821,2026-07-14 16:17:38.601131,0 days 00:01:30.871310,0.0310894482703093,0.24583791695570978,1.0164965241497197,2,,COMPLETE
30,0.2384795896995761,2026-07-14 16:17:38.601693,2026-07-14 16:19:00.651937,0 days 00:01:22.050244,0.04800434999075116,0.09356248772437512,0.8667188906756478,3,,COMPLETE
31,0.23801456798323914,2026-07-14 16:19:00.652526,2026-07-14 16:20:34.986343,0 days 00:01:34.333817,0.042267738568601096,0.1984713607217738,1.9968830228315442,5,,COMPLETE
32,0.23836596568523793,2026-07-14 16:20:34.986897,2026-07-14 16:22:06.966882,0 days 00:01:31.979985,0.039625584407344636,0.198094314006436,1.1653531796658534,5,,COMPLETE
33,0.2384103081591993,2026-07-14 16:22:06.967439,2026-07-14 16:23:36.390018,0 days 00:01:29.422579,0.03401356619098322,0.1433423918060588,0.7349486972159059,4,,COMPLETE
34,0.23833039891855892,2026-07-14 16:23:36.390574,2026-07-14 16:25:04.518160,0 days 00:01:28.127586,0.056826564127470065,0.18290930080980147,1.893179009079549,6,,COMPLETE
35,0.23883073689668802,2026-07-14 16:25:04.518740,2026-07-14 16:26:42.646534,0 days 00:01:38.127794,0.07988132756971869,0.2970686034018484,1.9930125216940584,4,,COMPLETE
36,0.2384486499755713,2026-07-14 16:26:42.647132,2026-07-14 16:28:20.039609,0 days 00:01:37.392477,0.04965645934041971,0.22560906056646401,0.9987528771216443,5,,COMPLETE
37,0.2384486499755713,2026-07-14 16:28:20.040200,2026-07-14 16:29:55.692255,0 days 00:01:35.652055,0.023758403443402982,0.14595578671057297,1.2755688280388788,6,,COMPLETE
38,0.23852279531052997,2026-07-14 16:29:55.692835,2026-07-14 16:31:26.197753,0 days 00:01:30.504918,0.038343137136062515,0.19428204985679717,1.6112937803300655,4,,COMPLETE
39,0.23874902825543762,2026-07-14 16:31:26.198387,2026-07-14 16:33:05.606195,0 days 00:01:39.407808,0.01711265220601797,0.09066326845182514,0.8200465064073865,5,,COMPLETE
40,0.2386642913256832,2026-07-14 16:33:05.606749,2026-07-14 16:34:42.449686,0 days 00:01:36.842937,0.06550996840803032,0.3253645331661174,0.46881573969090984,4,,COMPLETE
41,0.2383715064224577,2026-07-14 16:34:42.450256,2026-07-14 16:36:08.617720,0 days 00:01:26.167464,0.0561162230512118,0.18006300802017605,1.9232245990824623,6,,COMPLETE
42,0.23831140722374783,2026-07-14 16:36:08.618297,2026-07-14 16:37:46.137364,0 days 00:01:37.519067,0.043866936199162654,0.265187323267829,1.8092566411782762,6,,COMPLETE
43,0.23755459538597654,2026-07-14 16:37:46.138069,2026-07-14 16:39:25.675114,0 days 00:01:39.537045,0.04379725106521068,0.2692010405891794,1.7457409185388177,6,,COMPLETE
44,0.23847017749702212,2026-07-14 16:39:25.675769,2026-07-14 16:41:01.630839,0 days 00:01:35.955070,0.04976374005356343,0.2891572600089148,1.5085591149527624,5,,COMPLETE
45,0.23835167946803026,2026-07-14 16:41:01.631411,2026-07-14 16:42:31.842628,0 days 00:01:30.211217,0.034903820891442526,0.2343549282879494,1.7459491581023021,6,,COMPLETE
46,0.23779857372390104,2026-07-14 16:42:31.843418,2026-07-14 16:44:01.946141,0 days 00:01:30.102723,0.040206558962145214,0.3098343851317508,0.6730996391139052,5,,COMPLETE
47,0.23841658634051588,2026-07-14 16:44:01.946762,2026-07-14 16:45:31.193018,0 days 00:01:29.246256,0.03928651084213809,0.3126288638966089,1.6791738057588177,5,,COMPLETE
48,0.23803972173751206,2026-07-14 16:45:31.193606,2026-07-14 16:47:07.110442,0 days 00:01:35.916836,0.02522975826676881,0.3414449957609661,1.979544978959821,5,,COMPLETE
