number,value,datetime_start,datetime_complete,duration,params_corner_curvature,params_icp_maximum_iteration,params_livox_min_dis,params_mapping_plane_resolution,params_surface_curvature,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
0,0.7351287030665757,2026-07-28 00:33:20.217676,2026-07-28 00:35:11.263316,0 days 00:01:51.045640,0.1,15,0.1,0.6,0.005,,,,,"{'livox_min_dis': 0.1, 'corner_curvature': 0.1, 'surface_curvature': 0.005, 'mapping_plane_resolution': 0.6, 'icp_maximum_iteration': 15}",COMPLETE
1,0.9711107681133645,2026-07-28 00:35:11.339102,2026-07-28 00:36:45.886596,0 days 00:01:34.547494,0.16487022659046804,18,0.5215926459088961,0.7009131517717966,0.009284370645985135,0.0,0.0,,,,COMPLETE
2,0.8355637842783824,2026-07-28 00:36:45.939042,2026-07-28 00:39:07.841954,0 days 00:02:21.902912,0.16333102316402054,17,0.5225730420826634,0.702057311478108,0.01469877377163507,0.0,0.0,,,,COMPLETE
3,0.7900047811239749,2026-07-28 00:39:07.999981,2026-07-28 00:41:17.660504,0 days 00:02:09.660523,0.16392304899740673,17,0.5232778234295656,0.6960100056329017,0.010014965689704048,0.0,0.0,,,,COMPLETE
4,0.8302051936827651,2026-07-28 00:41:18.042169,2026-07-28 00:45:43.629709,0 days 00:04:25.587540,0.16195595251425854,17,0.523459208924456,0.7041656382463184,0.012735213886212442,0.0,0.0,,,,COMPLETE
5,0.8093696528928833,2026-07-28 00:45:44.720051,2026-07-28 00:50:02.782436,0 days 00:04:18.062385,0.1646370861246264,17,0.5195073203045139,0.6946678164694637,0.007180691836442898,0.0,0.0,,,,COMPLETE
6,0.843112748193498,2026-07-28 00:50:04.087203,2026-07-28 00:55:06.958405,0 days 00:05:02.871202,0.15879130875938893,18,0.5244275545315995,0.7003092884795075,0.014507899155643487,0.0,0.0,,,,COMPLETE
7,0.8248541797011643,2026-07-28 00:55:10.015958,2026-07-28 01:02:11.166412,0 days 00:07:01.150454,0.16062357159026275,18,0.5192772291114853,0.6971910257389069,0.015507166768461627,0.0,0.0,,,,COMPLETE
8,0.8510848693171779,2026-07-28 01:02:13.767947,2026-07-28 01:07:52.692769,0 days 00:05:38.924822,0.15328462560207778,17,0.5265189149991903,0.7044937968880373,0.012372430464146147,0.0,0.0,,,,COMPLETE
9,0.7945779041009012,2026-07-28 01:07:52.763135,2026-07-28 01:15:06.643518,0 days 00:07:13.880383,0.29999999999999993,30,0.05,1.1999999999999997,0.019999999999999997,1.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680b894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf712f7471306258080000005f705f7369676d617131682868294b00857132682b877133527134284b014b05857135680b894328e9e9ae24e32bf5bfa1fa89314a7ff63fc71d090d3902c4bf6f93dd113556f8bfcdbd80461d9061c071367471376258030000005f70637138682868294b00857139682b87713a52713b284b014b0585713c680b89432800000000000000000000000000000000000000000000000000000000000000000000000000000000713d74713e6258050000005f6d65616e713f682868294b00857140682b877141527142284b014b05857143680b89432880dda0223fb1e03f8620ecc9feefc43fba8dd8f7b3b0843f81f1c026ba46e63f499224499224314071447471456258050000005f635f31647146682868294b00857147682b877148527149284b014b0f85714a680b8943784412268a7c70f13fe1b8dfa93c63a6bf1a226a0f600e763fde198976445cab3f705536e0d1530a403ef168914269f13f98b30b2d499d92bf6a3f9b2475c1adbff012703e42dd19c0ae1c0ef634f5f03f4ce6ec3b6e60913fbfe470b9d7d50b40e468b0fa16a6f13f0734db5ec45317404cf5522b88c18d40714b74714c6258060000005f7369676d61714d6807680b4,308ff73b918a090fb40714e86714f52715058020000005f4471514e58020000005f4271524e58070000005f626f756e64737153682868294b00857154682b877155527156284b014b054b02867157680b8943509a9999999999a93f000000000000f03f7b14ae47e17a943f333333333333d33ffca9f1d24d62503f7b14ae47e17a943f9a9999999999c93f333333333333f33f00000000000012400000000000803e4071587471596258110000005f6e5f6d61785f726573616d706c696e67715a4b3258020000005f67715b4b0158050000005f746f6c78715c6807680b43084d48ee10d685ec3c715d86715e52715f58070000005f746f6c78757071604740c388000000000058070000005f746f6c66756e7161473d719799812dea1158100000005f746f6c636f6e646974696f6e636f7671624742d6bcc41e900000580d0000005f66756e686973745f7465726d71634b1d580f0000005f66756e686973745f76616c7565737164682868294b00857165682b877166527167284b014b3a857168680b8942d00100005084243e000000000000000000000000378e531bb847e93f11e4bae35613ef3f00000000000000000000000000000000c8a72c3f0000000048ad823e000000000000000000000000060000000100000005000500f670000001000000000000002cad823e000000002ecf423f000000003d0000003d00000017000000510000002b0000000100000000000000060000000b0000002d0000003c0000003d0000003d00000000000000000002000000000078659e3e0000000088e5d23e000000000000000000000000000000000000000018000000000000002ecf423f000000003d0000003d000000000000000000000000000000000000000100000000000000ff01010001000000084a4509f770000078630bf4f6700000f8ed2c09f7700000306795ebf67000000000000000000000000000000000000020fa423f0000000020fa423f0000000080683609f7700000c0dd46d7f670000090f887d8f670000048c046d7f670000090c046d7f6700000a8c046d7f6700000507dd8d8f670000030de46d7f670000068de46d7f670000070f346d7f670000010914909f7700000705446d7f670000050e64809f7700000f03a3909f7700000308e4509f7700000f0854c09f770000070093909f7700000716974716a6275622e,,COMPLETE
10,0.8347629718864762,2026-07-28 01:15:07.360559,2026-07-28 01:23:26.640959,0 days 00:08:19.280400,0.02,5,0.9999999999999999,0.2,0.019999999999999997,1.0,0.0,,,,COMPLETE
11,999.0,2026-07-28 01:23:27.317262,2026-07-28 01:31:00.450229,0 days 00:07:33.132967,0.02,5,0.9999999999999999,1.1999999999999997,0.019999999999999997,1.0,0.0,,,,COMPLETE
12,999.0,2026-07-28 01:31:00.898249,2026-07-28 01:38:59.918599,0 days 00:07:59.020350,0.29999999999999993,30,0.05,1.1999999999999997,0.001,1.0,0.0,,,,COMPLETE
13,999.0,2026-07-28 01:39:06.070564,2026-07-28 01:47:45.367737,0 days 00:08:39.297173,0.02,30,0.05,0.2,0.019999999999999997,1.0,0.0,,,,COMPLETE
14,999.0,2026-07-28 01:47:46.617661,2026-07-28 01:54:57.483279,0 days 00:07:10.865618,0.29999999999999993,5,0.9999999999999999,1.1999999999999997,0.001,1.0,0.0,,,,COMPLETE
15,0.8023367217775463,2026-07-28 01:54:58.012446,2026-07-28 02:01:31.333820,0 days 00:06:33.321374,0.02,5,0.9999999999999999,0.2,0.001,1.0,0.0,,,,COMPLETE
16,0.8246018146120685,2026-07-28 02:01:31.687041,2026-07-28 02:05:37.154978,0 days 00:04:05.467937,0.29999999999999993,30,0.05,1.1999999999999997,0.001,1.0,0.0,,,,COMPLETE
